branch,run_at,git_commit,chain_id,group,item,value
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,measurement conditions (C-14),cpu,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,measurement conditions (C-14),cpuCores,8
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,measurement conditions (C-14),ramGB,8
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,measurement conditions (C-14),os,Windows_NT 10.0.26200
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,measurement conditions (C-14),nodeVersion,v22.13.0
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,measurement conditions (C-14),iterations,1
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,measurement conditions (C-14),k,9
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,measurement conditions (C-14),curve,pasta / vesta (pallas::Base)
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,measurement conditions (C-14),provingSystem,IPA (halo2_proofs 0.3.2) - no trusted setup required
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,measurement conditions (C-14),merkleDepth,9
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,measurement conditions (C-14),maxLeaves,512
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,limitations - NOT proven here,studentsInPool,500
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,limitations - NOT proven here,impact,"This run built 500 students in the pool. Even so, NONE of the 5 criteria measures ANONYMITY (the central claim of C1): the 5 criteria score replay prevention, readable state, verifiable state, ciphertext-only storage and private-witness secrecy - none of them asks whether an observer can tell who withdrew. Anonymity evidence lives in table B, condition R1 of THIS SAME RUN (`-B-riengtu.csv`): `anonymitySetFromChain`, `distinctRecipients` and `distinctAmounts`, all counted from on-chain events. - The anonymity set is an UPPER BOUND and holds ONLY because the contract enforces one denomination (V1(b)); with mixed amounts it does not."
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,limitations - NOT proven here,runCount,1
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,limitations - NOT proven here,notForPerformance,These numbers are a single sample with no standard deviation. Official performance numbers belong to sections 6/7.
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,limitations - NOT proven here,amountAndRecipientArePublic,"The Withdraw event emits `recipient` and `amount` in clear. The system hides the LINK between a payout and a note, not the payout itself."
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,limitations - NOT proven here,unobservabilityNotClaimed,"ISO/IEC 15408-2 FPR_UNO.1 (unobservability) is NOT met and CANNOT be met by design: withdrawals are public events. This is the deliberate trade-off that produces criterion 2a. Do not present it as a defect, and do not cite FPR_UNO.4 in support of transparency - its wording says `authorized user`, which is the opposite axis."
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,limitations - NOT proven here,collusionOutOfScope,"ISO/IEC 15408-2 FPR_UNL.1 (Annex I.4.2.2) requires unlinkability against COOPERATING users. That condition (R5) was taken OUT OF SCOPE on 2026-09-05: it is an EXAMPLE in a CC annex rather than a core requirement, and with only a few withdrawers the anonymity set barely shrinks. Closing it needs a reference threshold that has not been found yet (gap T5-D). It is NOT pending work and NO measurement of it exists - do not cite one."
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,limitations - NOT proven here,standardsBoundary,"Criteria 1, 3 and 4 are NOT graded against any external standard - they are properties of this system's own mechanisms and the experiment proves them directly. Criterion 2a borrows ISO/IEC 15408-2 FAU_SAR.1 only to name the `read` axis; criterion 2b takes its definition from NIST IR 8202 s4 p.18 because no Common Criteria component covers `any third party verifies ledger state without trusting the operator`."
